vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
6009,3,Temple of Ra,A massive temple to the sun god. Gold leaf catches the light. Priests chant in ancient tongues.,6004,6016,6010,6008,6005,6003,6017,6015,,,"Gold leaf catches the sun, scattering shards of warmth across stone.","Chants rise and fall like waves, weaving through shadowed halls west.","Cherry blossoms drift with the breeze, surreal among desert sands southwest.",Stone columns echo distant roars and the restless pacing of lions north.
6010,3,The Sphinx  -  Base,The great sphinx stares eastward with knowing eyes. Sand piles against its paws.,6005,6017,6011,6009,6006,6004,6018,6016,,6098,The great sphinx’s gaze is fixed eastward beneath an ancient sun.,"Steam rises faintly from distant pools, warming chilled desert air northeast.",Shadowed lions stir with restless energy just beyond the colosseum northwest.,Soft wooden strikes echo faintly from training halls nestled to the southeast.
6011,3,Pyramid  -  Entrance,The entrance to the great pyramid. Cool air flows from within. Hieroglyphs warn of curses.,6006,6018,6012,6010,6007,6005,6019,6017,,,"Cool air exhales from the dark pyramid, brushing against sun-warmed stones.","Whispers curl from steamy baths far north, mingling with heated tile scents.",Distant clangs of wooden swords resound faintly from training grounds south.,"Hieroglyphs warn silently, their carved lines catching shifting light."
6012,3,Pyramid  -  Interior,Narrow passages lead deeper. Torchlight reveals painted walls telling stories of the afterlife.,6007,6019,6013,6011,,6006,6020,6018,,,"Torchlight flickers over ancient walls, revealing tales of death and rebirth.",The steady murmur of flowing water drifts softly from massive stone arches north.,Wooden swords clash faintly in the stillness beyond narrow passageways south.,"A winding path curves gently upward, lined with tiered roofs and quiet shadows southeast."
6013,3,Pyramid  -  Burial Chamber,The pharaoh's final resting place. Gold and treasures surround the sarcophagus. The air is ancient.,,6020,,6012,,6007,,6019,,,Faint torchlight flickers from twisting passages to the west.,The distant roar of water echoes from massive stone arches northwest.,Curved roofs rise like waves above the winding path to the south.,The air carries the weight of gold and ancient secrets.
6014,3,Bamboo Forest  -  Path,"Tall bamboo sways overhead, creating a green tunnel. The path is worn smooth by countless feet.",,6021,6015,,6008,,6022,,,,Tall bamboo forms a whispering canopy overhead.,The salty tang of tar drifts up from docks to the southeast.,Warm spice scents mingle from the bustling market northeast.,Rocky cliffs stand sentinel beyond the bamboo path to the south.
6015,3,Bamboo Forest  -  Clearing,"A small clearing with a stone lantern. Cherry blossoms drift on the breeze despite no trees nearby. The bamboo here grows in a tight spiral pattern, as if time itself was twisted. At the center of the spiral, a single bamboo stalk has been fused into glass  -  frozen mid-growth in a moment that lasted forever.",6008,6022,6016,6014,6009,,6023,6021,,,Cherry blossoms drift slowly despite the lack of nearby trees.,Gold leaf gleams faintly from the temple to the northeast.,The distant clang of hammer on anvil rises from the docks to the south.,Ancient runes murmur softly on the wind from the hill to the southeast.
6016,3,Feudal Village  -  Gate,A torii gate marks the entrance to a small village. Paper lanterns glow in the twilight.,6009,6023,6017,6015,6010,6008,6024,6022,,,Paper lanterns glow softly in the twilight at the village entrance.,The heavy scent of salt and tar drifts up from nearby docks southwest.,Echoes of hammering steel carry from the forge to the southeast.,Sand piles against the sphinx's paws just northeast.
6017,3,Feudal Village  -  Center,Thatched-roof houses surround a central well. A samurai meditates beneath a maple tree.,6010,6024,6018,6016,6011,6009,6025,6023,,,Maple leaves flutter gently over the central well.,The sphinx’s silent gaze stretches from the north.,"From the east, wooden swords clang in steady rhythm.",Firelight warmth drifts faintly from the mead hall to the southwest.
6018,3,Dojo  -  Exterior,A traditional training hall. The sound of wooden swords clashing comes from within.,6011,6025,6019,6017,6012,6010,6026,6024,,,The sharp clash of wooden swords rings from within to the east.,"Cool, dry air flows steadily from the pyramid entrance to the north.",Ancient chants echo faintly from priests at the temple beyond northwest.,The scent of pine and offerings drifts from the sacred grove to the southeast.
6019,3,Dojo  -  Interior,Polished wooden floors. Weapons racks line the walls. A master corrects a student's form.,6012,6026,6020,6018,6013,6011,,6025,,,Polished floors reflect the flicker of torchlight from narrow passages north.,Wooden swords strike with steady rhythm echoing from the exterior west.,The weight of ancient curses lingers in the cool air to the northwest.,The distant crackle of fire drifts faintly from the runestone hill to the southwest.
6020,3,Castle  -  Approach,A winding path leads up to a Japanese castle. Multiple tiers of curved roofs rise above.,6013,,,6019,,6012,,6026,,,"Curved roofs rise above the winding path, their tiers stacked like waves.",Torchlight from hidden passages catches on painted walls to the northwest.,The scent of pine and sacred offerings drifts softly from the grove to the southwest.,"The heavy, ancient air from the burial chamber lingers to the north."
6021,3,Fjord  -  Shore,"A rocky beach at the base of towering cliffs. Longships are beached here, dragon prows facing the sea.",6014,,6022,,6015,,6027,,,,The sharp scent of salt rides the cold air at the rocky shore.,Bamboo shadows sway softly from the path to the north.,Wooden planks creak faintly from busy docks to the east.,Spices and distant camels scent the breeze far to the southeast.
6022,3,Viking Village  -  Docks,A wooden dock where warriors load supplies. The smell of salt and tar.,6015,6027,6023,6021,6016,6014,6028,,,,The thick smell of tar and salt clings to the wooden dock.,Cherry blossoms drift faintly from the clearing to the north.,The muted clang of war preparation rises softly from the mead hall east.,Stone walls of a fortress rise starkly to the southeast.
6023,3,Viking Village  -  Mead Hall,A massive wooden hall. A fire pit runs its length. Warriors feast and boast of battles.,6016,6028,6024,6022,6017,6015,6029,6027,,,Smoke and warmth curl from the long fire pit filling the hall.,Soft lantern light glows across the village gate to the north.,The deep hammering of steel rings from the forge to the east.,Spicy aromas drift faintly from the distant caravan to the southwest.
6024,3,Viking Village  -  Forge,A blacksmith hammers a sword on an anvil. Runes are carved into every blade.,6017,6029,6025,6023,6018,6016,6030,6028,,,The steady ring of hammer on anvil fills the air with heat.,Ancient runes whisper secrets on the breeze from the runestone hill east.,Soft paper lantern light glows gently from the village gate to the northwest.,The faint scent of incense drifts from the chapel far to the southeast.
6025,3,Runestone Hill,A hilltop covered in ancient runestones. Each tells a saga. The wind reads them aloud.,6018,6030,6026,6024,6019,6017,6031,6029,,,The wind whispers ancient sagas carved into the stones.,Faint wooden swords clash from the north beyond the hill.,Blacksmith hammering echoes from the forge to the west.,Colorful light filters from stained glass in the southern chapel.
6026,3,Sacred Grove,An ancient grove where the Norse gods are worshipped. Offerings hang from branches.,6019,6031,,6025,6020,6018,,6030,,,Branches heavy with offerings sway gently in the breeze.,Soft wooden floor creaks and a master's voice drifts from north.,Stained glass hues flicker from the chapel to the southwest.,Dust clouds rise beyond the tower as the desert stretches south.
6027,3,Desert Road  -  Caravan,A trade caravan rests here. Camels and merchants from distant lands. Spices scent the air.,6022,6033,6028,,6023,6021,6034,6032,,,Spices mingle with the dry desert air around the caravan.,Salt and tar scents drift from the docks to the north.,"The humid jungle presses close, alive with macaw cries.",A rushing river murmurs below the slippery rope bridge south.
6028,3,Desert Fortress  -  Gate,A massive stone fortress rises from the sand. Crusader banners fly from the battlements.,6023,6034,6029,6027,6024,6022,6035,6033,,,Crusader banners snap sharply in the dry desert wind.,The rhythmic clang of hammer on anvil drifts from the northeast.,Salt and tar from the docks blend with desert heat to the northwest.,Dusty roads and vulture cries echo faintly from the south.
6029,3,Desert Fortress  -  Courtyard,Knights in full plate sweat in the desert heat. A well provides precious water.,6024,6035,6030,6028,6025,6023,6036,6034,,,The heat weighs heavy amidst clanking armor and dry dust.,Sweat glistens on knights training near the well to the west.,A fire pit crackles and laughter drifts from the mead hall northwest.,Soft colored light from the nearby chapel paints the air.
6030,3,Desert Fortress  -  Chapel,A small stone chapel. Stained glass casts colored light on worn pews. Prayer and war coexist.,6025,6036,6031,6029,6026,6024,6037,6035,,,Worn pews catch colored light from stained glass windows.,Soft hammering sounds come from the forge in the northwest.,Scent of heated metal mingles with incense from the chapel.,Dust clouds rise faintly beyond the tower to the east.
6031,3,Desert Fortress  -  Tower,The highest point. The desert stretches endlessly. Dust clouds on the horizon  -  an army approaches.,6026,6037,,6030,,6025,,6036,,,Endless desert vistas stretch beneath swirling dust clouds.,Faint hymns and prayers drift from the chapel to the west.,Ancient runes whisper softly on the hill just northwest.,Branches heavy with offerings sway gently to the north.
6032,3,Jungle Path  -  Overgrown,Dense jungle presses in from all sides. Macaws screech overhead. The humidity is suffocating.,,,6033,,6027,,6038,,,,Dense humidity clings to the skin beneath screaming macaws.,Rushing water and creaking bridge wood come from the east.,A spice-laden breeze drifts from the caravan to the northeast.,Tumbleweeds scuttle slowly across the dusty trail to the southeast.
6033,3,Jungle Path  -  River Crossing,A rope bridge spans a rushing river. The wood is slippery. Crocodiles wait below.,6027,6038,6034,6032,6028,,6039,,,,The rope bridge creaks above the rushing river below.,Macaws cry from the dense jungle pressing in to the west.,Dusty wind carries the scent of spices and camels northward.,Distant saloon piano notes drift faintly from the southeast.
6034,3,Aztec City  -  Outskirts,The jungle gives way to cultivated land. Terraced farms and irrigation channels.,6028,6039,6035,6033,6029,6027,6040,6038,,,Terraced farms rise gently beneath irrigation channels.,Stone fortress walls stand stern against the northern sky.,A tumbleweed rolls lazily along the dusty trail to the southwest.,Whiskey and piano music drift from the saloon just southeast.
6035,3,Aztec City  -  Market,"A vast marketplace. Cacao, obsidian, feathers, and jade. The currency is cacao beans.",6029,6040,6036,6034,6030,6028,6041,6039,,,Bright feathers and cacao beans fill the vibrant marketplace air.,Clinking armor and dry heat rise from the courtyard to the north.,Stained glass colors flicker softly from the chapel northeast.,The scent of leather and hay drifts faintly from the southeast.
6036,3,Aztec City  -  Temple Base,A massive stepped pyramid dominates the city. Stairs climb steeply toward the summit.,6030,6041,6037,6035,6031,6029,6042,6040,,,Steep pyramid stairs climb toward the altar high above.,Faint stained glass hues shimmer softly from the chapel to the north.,Heavy armor clangs and water splashes in the courtyard northwest.,The smell of hay and snorting horses drifts from the stable southeast.
6037,3,Aztec City  -  Temple Summit,The top of the pyramid. An altar stained dark. The view of the city is breathtaking.,6031,6042,,6036,,6030,6043,6041,,,"The altar is stained dark with ancient, dried offerings.",The cityscape stretches wide beneath the burning sun.,Dust clouds swirl on the northern horizon where an army nears.,Horses stamp softly from the stables just to the south.
6038,3,Dusty Trail,A dirt road through scrubland. Tumbleweeds roll past. Vultures circle overhead.,6033,,6039,,6034,6032,6044,,,,"Tumbleweeds drift lazily along the dry, cracked trail.","Vultures wheel overhead, their cries piercing the still air.",The jungle presses thickly to the north with sharp birdcalls.,Faint jazz music floats from the city streets to the southeast.
6039,3,Frontier Town  -  Main Street,"A one-street town. Saloon, general store, sheriff's office. A tumbleweed rolls past on cue.",6034,6044,6040,6038,6035,6033,6045,,,,A solitary tumbleweed rolls down the dusty main street.,The scent of leather and hay wafts faintly from the south.,Voices and piano drift from the lively saloon to the east.,The cultivated farms begin to stretch just beyond the northern edge.
6040,3,Frontier Town  -  Saloon,"Swinging doors, a piano player, and whiskey that could strip paint. Cards are dealt in the back.",6035,6045,6041,6039,6036,6034,6046,6044,,,Whiskey fumes hang thick beneath the swinging saloon doors.,"Piano notes ripple softly through the warm, crowded room.",Muted maps and clicking telegraphs are faint beyond the southeast.,The scent of fresh hay drifts faintly from the stable to the east.
6041,3,Frontier Town  -  Sheriff's Office,Wanted posters cover the wall. A jail cell in the back. The sheriff's badge collects dust.,6036,6046,6042,6040,6037,6035,6047,6045,,,Faded wanted posters crackle softly in the dry air.,The faint smell of leather drifts from the stable to the east.,"From above, the massive pyramid looms with silent weight.",The distant clatter of horses echoes softly to the south.
6042,3,Frontier Town  -  Stable,Horses snort and stamp. The smell of hay and leather. A good horse is worth more than gold.,6037,6047,6043,6041,,6036,,6046,,,"Horses snort and shift, the leather scent thick and warm here.",A vast canyon yawns quietly to the east with layered reds.,"The pyramid towers to the northwest, casting a long shadow.",Faint steam and distant whistles rise from the train station south.
6043,3,Canyon  -  Rim,A vast canyon stretches below. Layers of red and orange rock. A rope bridge spans the narrowest point.,,,,6042,,6037,,6047,,,"The canyon stretches endlessly under a wide, empty sky.",A rickety rope bridge sways silently over the vast drop.,Horses whinny faintly from the stable just to the east.,"From above, the temple altar watches over the chasm."
6044,3,1940s City  -  Street,Art deco buildings and vintage cars. Big band music drifts from a dance hall. The war is overseas.,6039,6048,6045,,6040,6038,6049,,,,Big band music drifts softly from the dance hall to the east.,Vintage cars glint under the bright sun along the street.,The distant sound of a tumbleweed rolling carries from the northwest.,The warm scent of earth and grass rises faintly from the south.
6045,3,1940s City  -  Dance Hall,Couples swing dance under a glittering ball. The music is loud and joyful. Tomorrow they ship out.,6040,6049,6046,6044,6041,6039,6050,6048,,,The music pulses beneath a glittering chandelier of light.,Laughter and footfalls thump softly from the saloon to the north.,Faint clicking and rustling come from the busy war office east.,The acrid scent of tar drifts faintly from the cave below.
6046,3,1940s City  -  War Office,Maps with pins. Telegraphs clicking. The weight of decisions that cost lives.,6041,6050,6047,6045,6042,6040,,6049,,,"Maps litter the tables beneath dim, humming telegraph machines.",The weight of quiet decisions seems to linger in the air.,Swinging music and laughter echo softly from the dance hall west.,The acrid smell of bubbling tar rises from the pits to the south.
6047,3,1940s City  -  Train Station,Steam engines and tearful goodbyes. Soldiers board with brave faces and terrified eyes.,6042,,,6046,6043,6041,,6050,,,Steam hisses softly as trains prepare for their next journey.,The clatter of horses and leather drifts faintly from the north.,Red canyon walls glow quietly under the afternoon sun northeast.,The distant murmur of clicking telegraphs seeps from the west.
6048,3,Prehistoric  -  Savanna,Tall grass stretches to the horizon. A herd of mammoths moves in the distance. The sky is impossibly blue.,6044,,6049,,6045,,6051,,,,Tall grass sways endlessly beneath a sky impossibly blue.,Massive mammoths trudge slowly across the distant plains.,The first art of cave paintings whispers ancient stories east.,Ruins of a forgotten future crumble quietly to the southeast.
6049,3,Prehistoric  -  Cave,A cave with paintings on the walls. Handprints and hunting scenes. The first art.,6045,6051,6050,6048,6046,6044,6052,,,,"Faded handprints press into the stone, whispering stories of old.",A distant hum of swing music drifts faintly from the north.,The acrid scent of bubbling tar drifts in from the east.,Tall grass waves endlessly to the west under an impossible sky.
6050,3,Prehistoric  -  Tar Pits,Bubbling black tar. Bones of ancient creatures protrude from the surface. The smell is acrid.,6046,6052,,6049,6047,6045,,6051,,6100,"Thick black tar bubbles, trapping bones in slow decay.",Faint clicks and murmurs of telegraphs echo from the north.,"The acrid smell clings heavy, mixing with distant metallic rust.","A glass dome rises below, coral clinging to forgotten stone."
6051,3,Future Fragment  -  Ruins,A city from a future that never happened. Hovercars rusted in mid-air. Plants reclaim everything.,6049,,6052,,6050,6048,,,,,"Rusting hovercars hang frozen, swallowed by creeping vines.",The acrid stench of tar wafts in from the northeast.,Mammoths move silently on the distant savanna to the northwest.,Cave paintings flicker in shadows to the north.
6052,3,Future Fragment  -  AI Core,A still-functioning AI in a dead city. It asks questions about a world it can no longer see.,6050,,,6051,,6049,,,,,"A quiet, questioning presence hums from the dead city ruins.",The smell of acrid tar rises faintly to the north.,"Stone walls bear ancient handprints, barely visible in the dim light.",
6097,forgotten_epoch,Temporal Vault,A chamber outside of time itself. Objects from different eras float suspended in amber light. A clock with no hands ticks backwards.,,,,,,,,,,,Objects from ages past hover silently in amber light.,A clock without hands ticks backwards in timeless rhythm.,The cold stillness here weighs heavier than the air outside.,
6098,forgotten_epoch,The Timeless Arch,An ancient stone archway covered in temporal runes. The inscription reads: 'SPEAK WHAT FLOWS BUT CANNOT BE HELD'. The answer to this riddle is surely 'time'.,,,6010,,,,,,6010,,The great sphinx's gaze lingers quietly to the east.,"Sand drifts softly, gathering against ancient stone paws.",The air hums faintly with whispers of time's endless flow.,
6100,3,Atlantis  -  Dome Entrance,A glass dome rises from the ocean floor. Air fills it impossibly. Coral grows on ancient architecture.,,6102,,,,,6103,6101,6050,,Coral encrusts ancient pillars beneath the impossibly clear dome.,"Air holds a strange stillness, suspended between ocean and sky.",The acrid scent of tar seeps upward above the dome.,Faint echoes of bubbling black tar linger from below.
6101,3,Atlantis  -  Market District,Underwater market stalls preserved in stasis. Goods from a civilization that mastered the sea.,,6104,6102,,6100,,6105,,,,"Rows of stalls await buyers lost to time, frozen in stasis.",Soft hums pulse from the failing power core to the southeast.,Bioluminescent air flickers gently from the nearby plaza.,The glass dome glimmers faintly to the northeast.
6102,3,Atlantis  -  Central Plaza,A grand plaza with a fountain that flows upward. Bioluminescent fish swim through the air.,6100,6105,6103,6101,,,6106,6104,,,"Fish glow softly, weaving through air that flows upward in the fountain.",Blue marble temple walls stand cool and silent to the east.,Market stalls rest in quiet shadow to the west.,Coral-clad glass dome gleams faintly to the north.
6103,3,Atlantis  -  Temple of Poseidon,A temple of blue marble. Tridents line the walls. The god's throne is empty but warm.,,6106,,6102,,6100,,6105,,,Cool marble floors echo the faintest sound of dripping water.,Empty golden throne radiates a subtle warmth in the silence.,Bioluminescent fish glow softly through the nearby plaza.,The failing power core hums faintly to the southwest.
6104,3,Atlantis  -  Library,Crystal tablets containing all Atlantean knowledge. The language shifts to be readable.,6101,6108,6105,,6102,,6109,6107,,,"Crystal tablets pulse softly, shifting language under the gaze.","Golden gates loom with silent, untouched grandeur to the south.",The power core’s low hum vibrates through the walls to the east.,Golden light filters faintly from the jungle beyond.
6105,3,Atlantis  -  Power Core,"The engine that keeps the dome intact. It's failing. Slowly. Centuries left, but still.",6102,6109,6106,6104,6103,6101,6110,6108,,,"A slow, mechanical heartbeat pulses from the aging engine.",Golden streets shimmer faintly beyond the dome’s protective walls.,The temple’s blue marble coolness drifts faintly through corridors.,"Market stalls lie frozen, their secrets locked in stasis."
6106,3,Atlantis  -  Royal Palace,Opulent halls of pearl and gold. The last king left a note: 'We chose to sink.',6103,6110,,6105,,6102,,6109,,,Pearl and gold gleam softly beneath the quiet vaulted ceilings.,An empty throne room breathes warmth from its forgotten king.,Faint echoes of glowing fish ripple from the nearby plaza.,Golden leaves shimmer faintly from the avenue below.
6107,3,El Dorado  -  Jungle Approach,"The jungle parts to reveal golden light. A city of gold, hidden for millennia.",,6111,6108,,6104,,6112,,,,"Jungle leaves part, spilling warm golden light ahead.","Distant golden gates stand silent, untarnished by time.",The crystal tablets’ glow pulses faintly from the northeast.,The air tastes of earth and a promise long forgotten.
6108,3,El Dorado  -  Golden Gate,"Gates of solid gold, twenty feet tall. They open at a touch. No one has touched them in ages.",6104,6112,6109,6107,6105,,6113,6111,,,"The golden gates stand silent, untouched for ages.",A faint hum drifts from the failing power core to the northeast.,Golden light spills softly from the jungle to the west.,A crystalline spire glimmers faintly to the southeast.
6109,3,El Dorado  -  Main Avenue,A street paved with gold. Buildings of gold. Even the trees have golden leaves. It's blinding.,6105,6113,6110,6108,6106,6104,6114,6112,,,"Golden leaves shimmer under an unyielding, blinding light.",The subtle pulse of the power core resonates from the north.,Organic crystal growths pulse with quiet life to the south.,Opulent pearl halls glint in the distant northeast.
6110,3,El Dorado  -  Temple,The central temple. Gold and jade. The altar holds a single emerald the size of a head.,6106,6114,,6109,,6105,,6113,,,"The emerald altar gleams with quiet, ancient power.",Pearl and gold halls smell faintly of salt and age to the north.,Living crystal towers pulse softly from the southwest.,The golden street outside gleams unbearably bright.
6111,3,El Dorado  -  Treasury,"If the city is gold, this is platinum. The wealth of an empire concentrated in one room.",6107,,6112,,6108,,6115,,,,Cool platinum surfaces reflect the jungle’s golden light to the north.,Quiet peace hangs where gold statues rest nearby to the east.,The golden gates loom silently to the northeast.,"A low, harmonic vibration drifts from the chamber far southeast."
6112,3,El Dorado  -  Sacrifice Pit,A pit where offerings were made. Gold statues of the sacrificed line the edges. Their faces are peaceful.,6108,6115,6113,6111,6109,6107,6116,,,,Peaceful golden statues line the pit’s edge like silent watchers.,A crystalline spire pulses softly to the east with life.,The golden gates shimmer faintly just to the north.,A distant resonance hums from the harmony chamber to the south.
6113,3,Lemuria  -  Crystal Spire,A tower of living crystal that grows from the earth. Lemurian technology  -  organic and alive.,6109,6116,6114,6112,6110,6108,6117,6115,,,Living crystal twists and grows with an organic pulse.,Golden streets flash blindingly to the north and northwest.,The central temple’s jade gleams faintly to the northeast.,A shimmering air flickers softly over the ascension point southeast.
6114,3,Lemuria  -  Thought Gardens,Plants that grow from ideas. Think of something and it blooms. Be careful what you think.,6110,6117,,6113,,6109,,6116,,,Delicate plants bloom instantly at the hint of thought.,Golden temple stones glow faintly to the north.,A crystalline tower pulses softly to the west.,A vast crystalline record hums quietly to the southwest.
6115,3,Lemuria  -  Harmony Chamber,A room that resonates with your life force. Stand here and hear the music of your soul.,6112,6118,6116,,6113,6111,6119,,,,Soft life-force resonance fills the still air here.,Golden statues rest silently just to the north.,A vast wealth of platinum glints faintly to the northwest.,A peaceful melody drifts faintly from the monastery southeast.
6116,3,Lemuria  -  The Akashic Record,"Every event that ever happened, recorded in crystal. Past, present, and future. All accessible.",6113,6119,6117,6115,6114,6112,6120,6118,,,Crystal walls shimmer with the weight of endless memories.,Living crystal pulses quietly from the north.,The monastery’s calm breathes softly to the south.,The air shimmers faintly with residual transcendence to the east.
6117,3,Lemuria  -  Ascension Point,Where the Lemurians transcended physical form. The air shimmers with their residual presence.,6114,6120,,6116,,6113,,6119,,,The air shimmers faintly with ethereal presence.,Thought Gardens bloom softly to the north.,A crystalline tower pulses gently to the northwest.,The monastery’s calm hums quietly to the southwest.
6118,3,Shangri-La  -  Valley,A hidden valley of eternal spring. People here don't age. They've been waiting for visitors.,6115,,6119,,6116,,,,,,The air smells of eternal spring and unseen waiting.,Soft life-force music drifts from the chamber to the north.,The monastery stands quiet and peaceful to the east.,Crystalline records glint faintly to the northeast.
6119,3,Shangri-La  -  Monastery,A peaceful monastery where masters teach the secrets of immortality. The price is staying forever.,6116,,6120,6118,6117,6115,,,,,Calm wisdom seems to linger in the monastery’s silence.,The crystalline records pulse softly to the north.,Life-force resonance hums quietly to the northwest.,A shimmering presence flickers from the ascension point northeast.
6120,3,Shangri-La  -  Peak,"The highest point of the hidden valley. From here, you can see all of time laid out like a map.",6117,,,6119,,6116,,,,,A faint shimmer of transcendence drifts down from the northern heights.,The scent of ancient incense wafts softly from the monastery to the west.,Distant crystals hum with the weight of infinite memories to the northwest.,A crisp breeze carries echoes of timeless secrets across the peak.
7001,9,Undercity  -  Entry Shaft,A vertical shaft with a rusty ladder. Light from above fades quickly. The smell hits you like a wall.,,7004,7002,,,,7005,7003,13,,"A heavy stench clings to the air, thick as the darkness below.",Drips echo faintly from pipes narrowing to the southeast.,Faint graffiti shadows flicker from the landing to the east.,The rush of deeper waters murmurs softly from the southern tunnels.
7002,9,Undercity  -  Landing,The bottom of the shaft. Tunnels branch in multiple directions. Graffiti marks territory.,,7005,,7001,,,7006,7004,,,Faded graffiti crawls across nearby tunnel walls.,The constant drip of pipes fills the narrow tunnel to the south.,"Rats scatter, their tiny feet pattering in the east and south.",The smell of rust and decay rises faintly from the shaft to the west.
7003,9,Sewer Main  -  West,A large tunnel with a channel of flowing waste. A narrow walkway runs along one side.,,7008,7004,,7001,,7009,7007,,,The steady flow of waste water hums beneath a narrow walkway.,Colored light filters dimly from stained glass to the south.,"Rubble blocks the collapsed tunnel to the southwest, heavy and silent.",A clean river flows quietly just beyond the southeastern bend.
7004,9,Sewer Main  -  Junction,Three tunnels meet here. The water is deeper. Something large splashed around the corner.,7001,7009,7005,7003,7002,,7010,7008,,,A large splash echoes softly from the waters to the south.,Stained glass colors flicker faintly to the southwest.,The scent of rust and decay rises from the shaft to the north.,Wooden planks creak softly on the swaying bridge to the southeast.
7005,9,Sewer Main  -  East,The tunnel narrows. Pipes overhead drip constantly. Rats scatter at your approach.,7002,7010,7006,7004,,7001,7011,7009,,,Cold drips fall steadily from pipes overhead.,Scurrying rats vanish into shadows at every turn.,"The narrow tunnel tightens, walls closing in tightly.",A vast swarm moves like a living tide in the southeast chamber.
7006,9,Maintenance Room,A small room with valves and gauges. Someone has been sleeping here  -  a bedroll and empty cans.,,7011,,7005,,7002,7012,7010,,,The stale scent of sweat and rust lingers on worn bedrolls.,Faint creaks and groans hint at the swaying bridge to the southwest.,Rats skitter noisily just beyond the eastern tunnel.,Colored organ pipes rise in stately silence from the southeast.
7007,9,Collapsed Tunnel  -  West,The tunnel has partially collapsed. Rubble blocks most of the passage. A gap remains.,,7013,7008,,7003,,7014,,,,Rubble piles block most of the ancient passage.,Colored fragments of stained glass catch stray light from the east.,"The stone here feels colder, older beneath cracked surfaces.",A faint draft whispers from the depths through the narrow gap.
7008,undercity,Chapel Nave,"Stained glass windows line the walls. They depict four notes in sequence: C (red), E (blue), G (green), B (gold). The colors match something...",7003,7014,7009,7007,7004,,7015,7013,,,Colored light filters through stained glass notes in harmonious sequence.,The faint scent of damp earth rises from the tunnel to the north.,A soft murmur of flowing water drifts from the river cavern nearby.,"Rubble blocks the west passage, cold stone pressing against the air."
7009,9,Underground River  -  Bank,An underground river flows through a natural cavern. The water is surprisingly clean.,7004,7015,7010,7008,7005,7003,7016,7014,,,Clear water laps quietly along smooth cavern banks.,Carved pillars rise in shadowed shapes to the south.,Stained glass colors shimmer faintly to the west.,The uneasy scent of ancient power hangs near the altar southeast.
7010,9,Underground River  -  Bridge,"A makeshift bridge of planks and rope spans the river. It sways dangerously. A perfectly round tunnel has been bored through the ancient stonework here, leading nowhere  -  it simply stops after twenty feet, as if whatever made it changed direction mid-bore and went straight up through the ceiling.",7005,7016,7011,7009,7006,7004,7017,7015,,,The rickety bridge creaks with each faint breeze.,"A round tunnel ends abruptly, carved into ancient stone.","Cold water rushes beneath, pulling steadily southward.",Faint echoes of dripping pipes come from the northern tunnel.
7011,9,Rat King's Domain,A large chamber filled with refuse. Thousands of rats move as one organism. Their king watches.,7006,7017,7012,7010,,7005,,7016,,,A great mass of rodents shifts as one in the dim refuse.,A faint metallic scent drifts from the valves to the north.,The distant organ loft hums silently with unseen notes.,Cold water flows steadily southward through flooded tunnels.
7012,undercity,Cathedral Organ Loft,"A grand pipe organ dominates the loft. Its keys are colored: red, blue, green, gold. The stained glass windows below depicted a sequence...",,,,7011,,7006,,7017,,,"The organ's pipes loom above, silent but heavy with forgotten music.",A faint rustling echoes from the refuse chamber to the west.,"Cool moisture clings to the air, carried from the flooded passage below.",The scent of old metal and mold lingers from the nearby maintenance room.
7013,9,Smuggler's Cache,A hidden room behind a false wall. Crates of contraband. Someone's retirement fund.,7007,,7014,,7008,,7018,,,,Crates lie stacked behind a barely noticeable false wall.,The faint hum of stained glass windows whispers nearby.,Older stonework presses in from the east and northeast.,Muffled voices and bartering drift from the market tunnel southeast.
7014,9,The Depths  -  Upper,Older tunnels. The stonework is different  -  pre-Nexus construction. Something was here first.,7008,7018,7015,7013,7009,7007,7019,,,,Ancient stone blocks bear marks older than memory.,The sharp scent of smoke and deal-making rises from the south.,The quiet sound of water flows softly from the northeast.,Rubble and collapsed stone clutter the passage to the northwest.
7015,9,The Depths  -  Chamber,A circular chamber with pillars. Carvings in a language no one reads anymore.,7009,7019,7016,7014,7010,7008,7020,7018,,,The quiet rush of the underground river drifts in from the north.,Faint chants echo from the cultists hidden just to the southeast.,The worn pillars bear carvings in a language long forgotten.,A faint scent of smoke and sweat lingers near the pit to the south.
7016,9,The Depths  -  Altar,An ancient altar in the deepest chamber. Dark stains. The air vibrates with old power.,7010,7020,7017,7015,7011,7009,7021,7019,,,Old power hums in the air around the ancient altar.,The river’s cold breath can be felt near the bridge to the north.,The stench of refuse rises faintly from the rat king's domain northeast.,Chemical tang drifts softly from the abandoned lab to the southeast.
7017,9,Flooded Passage,Water fills this tunnel to waist height. The current pulls southward. Cold.,7011,7021,,7016,7012,7010,,7020,,,The cold water laps gently as the current pulls southward.,Distant scratching and squeaking come from the rat king’s domain above.,A faint metallic scent wafts up from broken glass nearby.,The makeshift bridge creaks softly under unseen weight to the northwest.
